time,location,water_level
2018/01/01/11,宜宾,1.2
2018/01/01/11,泸州二郎滩,2.3
2018/01/01/11,重庆,13.66
2018/01/01/11,涪陵（清溪场）,173.64
2018/01/01/11,万州,173.87
2018/01/01/11,茅坪,173.62
2018/01/01/11,宜昌,0.53
2018/01/01/11,沙市,-1.83
2018/01/01/11,监利,1.82
2018/01/01/11,城陵矶,2.78
2018/01/01/11,汉口,1.81
2018/01/01/11,黄石,1.59
2018/01/01/11,九江,1.36
2018/01/01/11,安庆,1.61
2018/01/01/11,芜湖,1.13
2018/01/01/11,南京,1.99
2018/01/01/11,镇江,1.64
2018/01/01/11,湘江长沙,30.33
2018/01/02/11,宜宾,1
2018/01/02/11,泸州二郎滩,1.7
2018/01/02/11,重庆,13.59
2018/01/02/11,涪陵（清溪场）,173.63
2018/01/02/11,万州,173.86
2018/01/02/11,茅坪,173.59
2018/01/02/11,宜昌,0.55
2018/01/02/11,沙市,-1.85
2018/01/02/11,监利,1.84
2018/01/02/11,城陵矶,2.79
2018/01/02/11,汉口,1.86
2018/01/02/11,黄石,1.63
2018/01/02/11,九江,1.37
2018/01/02/11,安庆,1.71
2018/01/02/11,芜湖,1.18
2018/01/02/11,南京,2.06
2018/01/02/11,镇江,2.1
2018/01/02/11,湘江长沙,30.3
2018/01/03/11,宜宾,1.3
2018/01/03/11,泸州二郎滩,1.6
2018/01/03/11,重庆,13.49
2018/01/03/11,涪陵（清溪场）,173.57
2018/01/03/11,万州,173.78
2018/01/03/11,茅坪,173.46
2018/01/03/11,宜昌,0.62
2018/01/03/11,沙市,-1.82
2018/01/03/11,监利,1.81
2018/01/03/11,城陵矶,2.79
2018/01/03/11,汉口,1.85
2018/01/03/11,黄石,1.62
2018/01/03/11,九江,1.44
2018/01/03/11,安庆,1.77
2018/01/03/11,芜湖,1.36
2018/01/03/11,南京,2.12
2018/01/03/11,镇江,2.42
2018/01/03/11,湘江长沙,30.33
2018/01/04/11,宜宾,1.5
2018/01/04/11,泸州二郎滩,1.6
2018/01/04/11,重庆,13.4
2018/01/04/11,涪陵（清溪场）,173.49
2018/01/04/11,万州,173.71
2018/01/04/11,茅坪,173.42
2018/01/04/11,宜昌,0.33
2018/01/04/11,沙市,-1.83
2018/01/04/11,监利,1.83
2018/01/04/11,城陵矶,2.84
2018/01/04/11,汉口,1.9
2018/01/04/11,黄石,1.74
2018/01/04/11,九江,1.56
2018/01/04/11,安庆,2.01
2018/01/04/11,芜湖,1.6
2018/01/04/11,南京,1.87
2018/01/04/11,镇江,2.53
2018/01/04/11,湘江长沙,30.59
2018/01/05/11,宜宾,1.5
2018/01/05/11,泸州二郎滩,1.7
2018/01/05/11,重庆,13.52
2018/01/05/11,涪陵（清溪场）,173.39
2018/01/05/11,万州,173.64
2018/01/05/11,茅坪,173.29
2018/01/05/11,宜昌,0.42
2018/01/05/11,沙市,-1.88
2018/01/05/11,监利,1.85
2018/01/05/11,城陵矶,2.96
2018/01/05/11,汉口,2
2018/01/05/11,黄石,1.82
2018/01/05/11,九江,1.68
2018/01/05/11,安庆,2.12
2018/01/05/11,芜湖,1.73
2018/01/05/11,南京,1.42
2018/01/05/11,镇江,2.28
2018/01/05/11,湘江长沙,30.66
2018/01/06/11,宜宾,1.7
2018/01/06/11,泸州二郎滩,1.8
2018/01/06/11,重庆,13.26
2018/01/06/11,涪陵（清溪场）,173.32
2018/01/06/11,万州,173.58
2018/01/06/11,茅坪,173.25
2018/01/06/11,宜昌,0.71
2018/01/06/11,沙市,-1.7
2018/01/06/11,监利,1.88
2018/01/06/11,城陵矶,3.04
2018/01/06/11,汉口,2.08
2018/01/06/11,黄石,1.95
2018/01/06/11,九江,1.75
2018/01/06/11,安庆,2.14
2018/01/06/11,芜湖,1.71
2018/01/06/11,南京,1.38
2018/01/06/11,镇江,1.63
2018/01/06/11,湘江长沙,30.75
2018/01/07/11,宜宾,1.5
2018/01/07/11,泸州二郎滩,1.8
2018/01/07/11,重庆,13.2
2018/01/07/11,涪陵（清溪场）,173.22
2018/01/07/11,万州,173.47
2018/01/07/11,茅坪,173.17
2018/01/07/11,宜昌,0.78
2018/01/07/11,沙市,-1.43
2018/01/07/11,监利,1.99
2018/01/07/11,城陵矶,3.16
2018/01/07/11,汉口,2.18
2018/01/07/11,黄石,1.99
2018/01/07/11,九江,1.83
2018/01/07/11,安庆,2.16
2018/01/07/11,芜湖,1.78
2018/01/07/11,南京,1.5
2018/01/07/11,镇江,1.19
2018/01/07/11,湘江长沙,30.85
2018/01/08/11,宜宾,1.5
2018/01/08/11,泸州二郎滩,1.9
2018/01/08/11,重庆,13.01
2018/01/08/11,涪陵（清溪场）,173.08
2018/01/08/11,万州,173.37
2018/01/08/11,茅坪,173.16
2018/01/08/11,宜昌,0.44
2018/01/08/11,沙市,0.15
2018/01/08/11,监利,-1.37
2018/01/08/11,城陵矶,3.38
2018/01/08/11,汉口,2.29
2018/01/08/11,黄石,2.01
2018/01/08/11,九江,1.85
2018/01/08/11,安庆,2.14
2018/01/08/11,芜湖,1.68
2018/01/08/11,南京,1.39
2018/01/08/11,镇江,0.86
2018/01/08/11,湘江长沙,30.85
2018/01/09/11,宜宾,1.6
2018/01/09/11,泸州二郎滩,2.4
2018/01/09/11,重庆,12.99
2018/01/09/11,涪陵（清溪场）,173.02
2018/01/09/11,万州,173.25
2018/01/09/11,茅坪,173.06
2018/01/09/11,宜昌,0.62
2018/01/09/11,沙市,-1.49
2018/01/09/11,监利,2.25
2018/01/09/11,城陵矶,3.55
2018/01/09/11,汉口,2.47
2018/01/09/11,黄石,2.16
2018/01/09/11,九江,1.89
2018/01/09/11,安庆,2.02
2018/01/09/11,芜湖,1.46
2018/01/09/11,南京,1.24
2018/01/09/11,镇江,0.76
2018/01/09/11,湘江长沙,30.94
2018/01/10/11,宜宾,1.8
2018/01/10/11,泸州二郎滩,2.4
2018/01/10/11,重庆,13.03
2018/01/10/11,涪陵（清溪场）,172.98
2018/01/10/11,万州,173.22
2018/01/10/11,茅坪,173
2018/01/10/11,宜昌,0.75
2018/01/10/11,沙市,-1.28
2018/01/10/11,监利,2.3
2018/01/10/11,城陵矶,3.67
2018/01/10/11,汉口,2.64
2018/01/10/11,黄石,2.29
2018/01/10/11,九江,1.94
2018/01/10/11,安庆,1.98
2018/01/10/11,芜湖,1.32
2018/01/10/11,南京,1.1
2018/01/10/11,镇江,0.62
2018/01/10/11,湘江长沙,30.98
2018/01/11/11,宜宾,2
2018/01/11/11,泸州二郎滩,2
2018/01/11/11,重庆,13.02
2018/01/11/11,涪陵（清溪场）,172.95
2018/01/11/11,万州,173.2
2018/01/11/11,茅坪,172.95
2018/01/11/11,宜昌,0.85
2018/01/11/11,沙市,-1.15
2018/01/11/11,监利,2.46
2018/01/11/11,城陵矶,3.82
2018/01/11/11,汉口,2.79
2018/01/11/11,黄石,2.44
2018/01/11/11,九江,2.05
2018/01/11/11,安庆,1.97
2018/01/11/11,芜湖,1.27
2018/01/11/11,南京,1.17
2018/01/11/11,镇江,0.78
2018/01/11/11,湘江长沙,31.05
2018/01/12/11,宜宾,1.9
2018/01/12/11,泸州二郎滩,2.6
2018/01/12/11,重庆,13
2018/01/12/11,涪陵（清溪场）,172.91
2018/01/12/11,万州,173.15
2018/01/12/11,茅坪,172.89
2018/01/12/11,宜昌,0.88
2018/01/12/11,沙市,-1.02
2018/01/12/11,监利,2.62
2018/01/12/11,城陵矶,3.96
2018/01/12/11,汉口,2.91
2018/01/12/11,黄石,2.59
2018/01/12/11,九江,2.19
2018/01/12/11,安庆,2.09
2018/01/12/11,芜湖,1.39
2018/01/12/11,南京,1.34
2018/01/12/11,镇江,0.97
2018/01/12/11,湘江长沙,31.14
2018/01/13/11,宜宾,2.1
2018/01/13/11,泸州二郎滩,2.6
2018/01/13/11,重庆,13.08
2018/01/13/11,涪陵（清溪场）,172.95
2018/01/13/11,万州,173.17
2018/01/13/11,茅坪,172.87
2018/01/13/11,宜昌,0.61
2018/01/13/11,沙市,-1.11
2018/01/13/11,监利,2.68
2018/01/13/11,城陵矶,4.05
2018/01/13/11,汉口,3.06
2018/01/13/11,黄石,2.72
2018/01/13/11,九江,2.34
2018/01/13/11,安庆,2.25
2018/01/13/11,芜湖,1.4
2018/01/13/11,南京,1.47
2018/01/13/11,镇江,1.1
2018/01/13/11,湘江长沙,31.06
2018/01/14/11,宜宾,1.4
2018/01/14/11,泸州二郎滩,2
2018/01/14/11,重庆,13
2018/01/14/11,涪陵（清溪场）,172.93
2018/01/14/11,万州,173.17
2018/01/14/11,茅坪,172.94
2018/01/14/11,宜昌,0.63
2018/01/14/11,沙市,-1.26
2018/01/14/11,监利,2.63
2018/01/14/11,城陵矶,4.05
2018/01/14/11,汉口,3.17
2018/01/14/11,黄石,2.86
2018/01/14/11,九江,2.49
2018/01/14/11,安庆,2.42
2018/01/14/11,芜湖,1.48
2018/01/14/11,南京,1.86
2018/01/14/11,镇江,1.44
2018/01/14/11,湘江长沙,31.03
2018/01/15/11,宜宾,1.9
2018/01/15/11,泸州二郎滩,2.1
2018/01/15/11,重庆,12.89
2018/01/15/11,涪陵（清溪场）,172.87
2018/01/15/11,万州,173.12
2018/01/15/11,茅坪,172.86
2018/01/15/11,宜昌,0.65
2018/01/15/11,沙市,-1.24
2018/01/15/11,监利,2.56
2018/01/15/11,城陵矶,3.99
2018/01/15/11,汉口,3.2
2018/01/15/11,黄石,2.94
2018/01/15/11,九江,2.59
2018/01/15/11,安庆,2.57
2018/01/15/11,芜湖,1.51
2018/01/15/11,南京,1.92
2018/01/15/11,镇江,1.61
2018/01/15/11,湘江长沙,30.98
2018/01/16/11,宜宾,1.9
2018/01/16/11,泸州二郎滩,2.1
2018/01/16/11,重庆,12.77
2018/01/16/11,涪陵（清溪场）,172.76
2018/01/16/11,万州,173.03
2018/01/16/11,茅坪,172.8
2018/01/16/11,宜昌,0.6
2018/01/16/11,沙市,-1.27
2018/01/16/11,监利,2.53
2018/01/16/11,城陵矶,3.96
2018/01/16/11,汉口,3.2
2018/01/16/11,黄石,2.96
2018/01/16/11,九江,2.63
2018/01/16/11,安庆,2.67
2018/01/16/11,芜湖,1.65
2018/01/16/11,南京,2.1
2018/01/16/11,镇江,2
2018/01/16/11,湘江长沙,30.81
2018/01/17/11,宜宾,2.1
2018/01/17/11,泸州二郎滩,2.7
2018/01/17/11,重庆,12.77
2018/01/17/11,涪陵（清溪场）,172.75
2018/01/17/11,万州,173.01
2018/01/17/11,茅坪,172.73
2018/01/17/11,宜昌,0.46
2018/01/17/11,沙市,-1.39
2018/01/17/11,监利,2.53
2018/01/17/11,城陵矶,3.9
2018/01/17/11,汉口,3.18
2018/01/17/11,黄石,2.95
2018/01/17/11,九江,2.63
2018/01/17/11,安庆,2.71
2018/01/17/11,芜湖,1.68
2018/01/17/11,南京,2
2018/01/17/11,镇江,2.14
2018/01/17/11,湘江长沙,30.76
2018/01/18/11,宜宾,1.3
2018/01/18/11,泸州二郎滩,2.6
2018/01/18/11,重庆,12.79
2018/01/18/11,涪陵（清溪场）,172.73
2018/01/18/11,万州,172.99
2018/01/18/11,茅坪,172.66
2018/01/18/11,宜昌,0.47
2018/01/18/11,沙市,-1.54
2018/01/18/11,监利,2.4
2018/01/18/11,城陵矶,3.79
2018/01/18/11,汉口,3.15
2018/01/18/11,黄石,2.95
2018/01/18/11,九江,2.62
2018/01/18/11,安庆,2.73
2018/01/18/11,芜湖,1.81
2018/01/18/11,南京,2.02
2018/01/18/11,镇江,2.42
2018/01/18/11,湘江长沙,30.77
2018/01/19/11,宜宾,1.1
2018/01/19/11,泸州二郎滩,2.5
2018/01/19/11,重庆,12.79
2018/01/19/11,涪陵（清溪场）,172.72
2018/01/19/11,万州,172.98
2018/01/19/11,茅坪,172.74
2018/01/19/11,宜昌,0.55
2018/01/19/11,沙市,-1.56
2018/01/19/11,监利,2.33
2018/01/19/11,城陵矶,3.7
2018/01/19/11,汉口,3.06
2018/01/19/11,黄石,2.89
2018/01/19/11,九江,2.62
2018/01/19/11,安庆,2.75
2018/01/19/11,芜湖,1.92
2018/01/19/11,南京,1.81
2018/01/19/11,镇江,2.36
2018/01/19/11,湘江长沙,30.83
2018/01/20/11,宜宾,1.4
2018/01/20/11,泸州二郎滩,2.7
2018/01/20/11,重庆,12.77
2018/01/20/11,涪陵（清溪场）,172.71
2018/01/20/11,万州,172.96
2018/01/20/11,茅坪,172.68
2018/01/20/11,宜昌,0.56
2018/01/20/11,沙市,-1.55
2018/01/20/11,监利,2.3
2018/01/20/11,城陵矶,3.62
2018/01/20/11,汉口,2.99
2018/01/20/11,黄石,2.83
2018/01/20/11,九江,2.56
2018/01/20/11,安庆,2.75
2018/01/20/11,芜湖,1.94
2018/01/20/11,南京,1.59
2018/01/20/11,镇江,2.18
2018/01/20/11,湘江长沙,30.93
2018/01/21/11,宜宾,0.9
2018/01/21/11,泸州二郎滩,2.7
2018/01/21/11,重庆,12.8
2018/01/21/11,涪陵（清溪场）,172.71
2018/01/21/11,万州,172.97
2018/01/21/11,茅坪,172.72
2018/01/21/11,宜昌,0.52
2018/01/21/11,沙市,-1.51
2018/01/21/11,监利,2.29
2018/01/21/11,城陵矶,3.57
2018/01/21/11,汉口,2.93
2018/01/21/11,黄石,2.78
2018/01/21/11,九江,2.51
2018/01/21/11,安庆,2.71
2018/01/21/11,芜湖,1.98
2018/01/21/11,南京,1.57
2018/01/21/11,镇江,1.98
2018/01/21/11,湘江长沙,30.93
2018/01/22/11,宜宾,2
2018/01/22/11,泸州二郎滩,1.3
2018/01/22/11,重庆,12.88
2018/01/22/11,涪陵（清溪场）,172.76
2018/01/22/11,万州,173.03
2018/01/22/11,茅坪,172.7
2018/01/22/11,宜昌,0.68
2018/01/22/11,沙市,-1.52
2018/01/22/11,监利,2.3
2018/01/22/11,城陵矶,3.55
2018/01/22/11,汉口,2.9
2018/01/22/11,黄石,2.72
2018/01/22/11,九江,2.47
2018/01/22/11,安庆,2.68
2018/01/22/11,芜湖,1.99
2018/01/22/11,南京,1.6
2018/01/22/11,镇江,1.61
2018/01/22/11,湘江长沙,30.92
2018/01/23/11,宜宾,1.9
2018/01/23/11,泸州二郎滩,2.6
2018/01/23/11,重庆,12.61
2018/01/23/11,涪陵（清溪场）,172.65
2018/01/23/11,万州,172.92
2018/01/23/11,茅坪,172.6
2018/01/23/11,宜昌,0.97
2018/01/23/11,沙市,-1.29
2018/01/23/11,监利,2.28
2018/01/23/11,城陵矶,3.56
2018/01/23/11,汉口,2.85
2018/01/23/11,黄石,2.69
2018/01/23/11,九江,2.44
2018/01/23/11,安庆,2.59
2018/01/23/11,芜湖,1.96
2018/01/23/11,南京,1.57
2018/01/23/11,镇江,1.33
2018/01/23/11,湘江长沙,30.91
2018/01/24/11,宜宾,1.4
2018/01/24/11,泸州二郎滩,2.5
2018/01/24/11,重庆,12.64
2018/01/24/11,涪陵（清溪场）,172.53
2018/01/24/11,万州,172.81
2018/01/24/11,茅坪,172.41
2018/01/24/11,宜昌,1.18
2018/01/24/11,沙市,-1.15
2018/01/24/11,监利,2.41
2018/01/24/11,城陵矶,3.63
2018/01/24/11,汉口,2.81
2018/01/24/11,黄石,2.68
2018/01/24/11,九江,2.44
2018/01/24/11,安庆,2.54
2018/01/24/11,芜湖,1.91
2018/01/24/11,南京,1.62
2018/01/24/11,镇江,1.09
2018/01/24/11,湘江长沙,30.86
2018/01/25/11,宜宾,2.1
2018/01/25/11,泸州二郎滩,2.7
2018/01/25/11,重庆,12.58
2018/01/25/11,涪陵（清溪场）,172.45
2018/01/25/11,万州,172.74
2018/01/25/11,茅坪,172.39
2018/01/25/11,宜昌,1.01
2018/01/25/11,沙市,-0.95
2018/01/25/11,监利,2.53
2018/01/25/11,城陵矶,3.76
2018/01/25/11,汉口,2.84
2018/01/25/11,黄石,2.72
2018/01/25/11,九江,2.48
2018/01/25/11,安庆,2.51
2018/01/25/11,芜湖,1.81
2018/01/25/11,南京,1.52
2018/01/25/11,镇江,1.01
2018/01/25/11,湘江长沙,30.93
2018/01/26/11,宜宾,2.3
2018/01/26/11,泸州二郎滩,2.7
2018/01/26/11,北碚,-0.23
2018/01/26/11,重庆,12.57
2018/01/26/11,寸滩,172.7
2018/01/26/11,涪陵（清溪场）,172.42
2018/01/26/11,万州,172.65
2018/01/26/11,茅坪,172.34
2018/01/26/11,宜昌,0.54
2018/01/26/11,枝江,0.58
2018/01/26/11,沙市,-0.64
2018/01/26/11,监利,2.7
2018/01/26/11,城陵矶,3.92
2018/01/26/11,汉口,2.9
2018/01/26/11,黄石,2.73
2018/01/26/11,九江,2.51
2018/01/26/11,安庆,2.54
2018/01/26/11,芜湖,1.95
2018/01/26/11,南京,1.74
2018/01/26/11,镇江,1.25
2018/01/26/11,湘江长沙,30.97
2018/01/27/11,宜宾,2.2
2018/01/27/11,泸州二郎滩,2.7
2018/01/27/11,北碚,-0.22
2018/01/27/11,重庆,12.5
2018/01/27/11,寸滩,172.63
2018/01/27/11,涪陵（清溪场）,172.3
2018/01/27/11,万州,172.55
2018/01/27/11,茅坪,172.25
2018/01/27/11,宜昌,1.39
2018/01/27/11,枝江,0.96
2018/01/27/11,沙市,-0.61
2018/01/27/11,监利,2.77
2018/01/27/11,城陵矶,4.15
2018/01/27/11,汉口,3.05
2018/01/27/11,黄石,2.82
2018/01/27/11,九江,2.54
2018/01/27/11,安庆,2.6
2018/01/27/11,芜湖,1.84
2018/01/27/11,南京,1.63
2018/01/27/11,镇江,1.16
2018/01/27/11,湘江长沙,31.08
2018/01/28/11,宜宾,1.8
2018/01/28/11,泸州二郎滩,2.7
2018/01/28/11,北碚,-0.26
2018/01/28/11,重庆,12.52
2018/01/28/11,寸滩,172.67
2018/01/28/11,涪陵（清溪场）,172.31
2018/01/28/11,万州,172.54
2018/01/28/11,茅坪,172.28
2018/01/28/11,宜昌,1.12
2018/01/28/11,枝江,0.61
2018/01/28/11,沙市,-0.65
2018/01/28/11,监利,2.94
2018/01/28/11,城陵矶,4.38
2018/01/28/11,汉口,3.2
2018/01/28/11,黄石,2.9
2018/01/28/11,九江,2.6
2018/01/28/11,安庆,2.62
2018/01/28/11,芜湖,1.82
2018/01/28/11,南京,1.63
2018/01/28/11,镇江,1.21
2018/01/28/11,湘江长沙,31.1
