time,location,water_level
2017/01/01/11,宜宾,1
2017/01/01/11,泸州,1.5
2017/01/01/11,重庆,12.12
2017/01/01/11,涪陵,172.15
2017/01/01/11,万州,172.37
2017/01/01/11,茅坪,172.16
2017/01/01/11,宜昌,0.15
2017/01/01/11,沙市,-1.73
2017/01/01/11,监利,2
2017/01/01/11,城陵矶,3.63
2017/01/01/11,汉口,2.94
2017/01/01/11,黄石,2.95
2017/01/01/11,九江,2.47
2017/01/01/11,安庆,2.76
2017/01/01/11,芜湖,1.9
2017/01/01/11,南京,1.72
2017/01/01/11,镇江,2.4
2017/01/01/11,长沙,30.81
2017/01/02/11,宜宾,1
2017/01/02/11,泸州,1.4
2017/01/02/11,重庆,12.01
2017/01/02/11,涪陵,172.08
2017/01/02/11,万州,172.33
2017/01/02/11,茅坪,172.14
2017/01/02/11,宜昌,0.19
2017/01/02/11,沙市,-1.93
2017/01/02/11,监利,2.01
2017/01/02/11,城陵矶,3.55
2017/01/02/11,汉口,2.95
2017/01/02/11,黄石,2.95
2017/01/02/11,九江,2.51
2017/01/02/11,安庆,2.8
2017/01/02/11,芜湖,2.03
2017/01/02/11,南京,1.7
2017/01/02/11,镇江,2.06
2017/01/02/11,长沙,30.82
2017/01/03/11,宜宾,0.9
2017/01/03/11,泸州,1.1
2017/01/03/11,重庆,11.92
2017/01/03/11,涪陵,172
2017/01/03/11,万州,172.23
2017/01/03/11,茅坪,172.03
2017/01/03/11,宜昌,0.21
2017/01/03/11,沙市,-1.9
2017/01/03/11,监利,2.14
2017/01/03/11,城陵矶,3.47
2017/01/03/11,汉口,2.91
2017/01/03/11,黄石,2.95
2017/01/03/11,九江,2.52
2017/01/03/11,安庆,2.8
2017/01/03/11,芜湖,2.04
2017/01/03/11,南京,1.72
2017/01/03/11,镇江,1.74
2017/01/03/11,长沙,30.99
2017/01/04/11,宜宾,1.4
2017/01/04/11,泸州,1.4
2017/01/04/11,重庆,11.78
2017/01/04/11,涪陵,171.89
2017/01/04/11,万州,172.12
2017/01/04/11,茅坪,171.92
2017/01/04/11,宜昌,0.19
2017/01/04/11,沙市,-1.99
2017/01/04/11,监利,2.11
2017/01/04/11,城陵矶,3.5
2017/01/04/11,汉口,2.87
2017/01/04/11,黄石,2.91
2017/01/04/11,九江,2.51
2017/01/04/11,安庆,2.79
2017/01/04/11,芜湖,2.1
2017/01/04/11,南京,1.7
2017/01/04/11,镇江,1.33
2017/01/04/11,长沙,31.12
2017/01/05/11,宜宾,1.6
2017/01/05/11,泸州,2.2
2017/01/05/11,重庆,11.7
2017/01/05/11,涪陵,171.78
2017/01/05/11,万州,172.02
2017/01/05/11,茅坪,171.82
2017/01/05/11,宜昌,0.25
2017/01/05/11,沙市,-1.98
2017/01/05/11,监利,2.05
2017/01/05/11,城陵矶,3.55
2017/01/05/11,汉口,2.85
