time,location,water_level
2021/12/26/08,宜宾,1.34
2021/12/26/08,泸州(麻沙桥),2.15
2021/12/26/08,北碚,0.89
2021/12/26/08,重庆,10.89
2021/12/26/08,寸滩,171.01
2021/12/26/08,涪陵,170.73
2021/12/26/08,万州,171.14
2021/12/26/08,秭归（郭家坝）,170.66
2021/12/26/08,宜昌,0.32
2021/12/26/08,枝江（李家渡）,-0.48
2021/12/26/08,沙市,-2.68
2021/12/26/08,监利,1.7
2021/12/26/08,城陵矶,2.71
2021/12/26/08,汉口,1.66
2021/12/26/08,黄石,1.8
2021/12/26/08,九江,1.71
2021/12/26/08,安庆,1.9
2021/12/27/08,宜宾,1.42
2021/12/27/08,泸州(麻沙桥),2.3
2021/12/27/08,北碚,0.38
2021/12/27/08,重庆,10.82
2021/12/27/08,寸滩,170.92
2021/12/27/08,涪陵,170.67
2021/12/26/08,芜湖,1.5
2021/12/26/08,南京,1.05
2021/12/26/08,镇江,0.75
2021/12/26/08,长沙,30.94
2021/12/27/08,万州,171.03
2021/12/27/08,秭归（郭家坝）,170.69
2021/12/27/08,宜昌,0.35
2021/12/27/08,枝江（李家渡）,-0.39
2021/12/27/08,沙市,-2.6
2021/12/27/08,监利,1.68
2021/12/27/08,城陵矶,2.69
2021/12/27/08,汉口,1.66
2021/12/27/08,黄石,1.8
2021/12/27/08,九江,1.64
2021/12/27/08,安庆,1.75
2021/12/27/08,芜湖,1.23
2021/12/27/08,南京,0.83
2021/12/27/08,镇江,0.53
2021/12/27/08,长沙,31.16
2021/12/28/08,宜宾,1.54
2021/12/28/08,泸州(麻沙桥),2.55
2021/12/28/08,北碚,0.96
2021/12/28/08,重庆,10.72
2021/12/28/08,寸滩,170.83
2021/12/28/08,涪陵,170.54
2021/12/28/08,万州,171.15
2021/12/28/08,秭归（郭家坝）,170.63
2021/12/28/08,宜昌,0.48
2021/12/28/08,枝江（李家渡）,-0.02
2021/12/28/08,沙市,2.07
2021/12/28/08,监利,1.79
2021/12/28/08,城陵矶,2.71
2021/12/28/08,汉口,1.68
2021/12/28/08,黄石,1.67
2021/12/28/08,九江,1.6
2021/12/28/08,安庆,1.56
2021/12/28/08,芜湖,1.25
2021/12/29/08,宜宾,1.38
2021/12/29/08,泸州(麻沙桥),2.56
2021/12/29/08,北碚,0.99
2021/12/29/08,重庆,10.8
2021/12/29/08,寸滩,170.92
2021/12/29/08,涪陵,170.52
2021/12/29/08,万州,171
2021/12/28/08,南京,0.96
2021/12/28/08,镇江,0.69
2021/12/28/08,长沙,31.27
2021/12/29/08,秭归（郭家坝）,170.61
2021/12/29/08,宜昌,0.38
2021/12/29/08,枝江（李家渡）,-0.13
2021/12/29/08,沙市,-2.05
2021/12/29/08,监利,2.05
2021/12/29/08,城陵矶,3.01
