time,location,water_level
2015/01/01/11,宜宾,0.8
2015/01/01/11,泸州二郎滩,1.3
2015/01/01/11,重庆,11.43
2015/01/01/11,涪陵（清溪场）,171.45
2015/01/01/11,万州,171.66
2015/01/01/11,茅坪,171.44
2015/01/01/11,宜昌,0.17
2015/01/01/11,沙市,-1.02
2015/01/01/11,监利,2.53
2015/01/01/11,城陵矶,3.71
2015/01/01/11,汉口,2.75
2015/01/01/11,黄石,2.42
2015/01/01/11,九江,1.88
2015/01/01/11,安庆,1.92
2015/01/01/11,芜湖,1.6
2015/01/01/11,南京,1.58
2015/01/01/11,镇江,1.23
2015/01/01/11,湘江长沙,29.12
2015/01/02/11,宜宾,0.7
2015/01/02/11,泸州二郎滩,0.9
2015/01/02/11,重庆,11.3
2015/01/02/11,涪陵（清溪场）,171.39
2015/01/02/11,万州,171.57
2015/01/02/11,茅坪,171.42
2015/01/02/11,宜昌,0.1
2015/01/02/11,沙市,-1.36
2015/01/02/11,监利,2.39
2015/01/02/11,城陵矶,3.61
2015/01/02/11,汉口,2.72
2015/01/02/11,黄石,2.4
2015/01/02/11,九江,1.85
2015/01/02/11,安庆,2
2015/01/02/11,芜湖,1.28
2015/01/02/11,南京,1.55
2015/01/02/11,镇江,1.14
2015/01/02/11,湘江长沙,29.26
2015/01/03/11,宜宾,1
2015/01/03/11,泸州二郎滩,0.8
2015/01/03/11,重庆,11.18
2015/01/03/11,涪陵（清溪场）,171.31
2015/01/03/11,万州,171.5
2015/01/03/11,茅坪,171.38
2015/01/03/11,宜昌,0.12
2015/01/03/11,沙市,-1.48
2015/01/03/11,监利,2.27
2015/01/03/11,城陵矶,3.4
2015/01/03/11,汉口,2.64
2015/01/03/11,黄石,2.36
2015/01/03/11,九江,1.81
2015/01/03/11,安庆,1.95
2015/01/03/11,芜湖,1.18
2015/01/03/11,南京,1.85
2015/01/03/11,镇江,1.41
2015/01/03/11,湘江长沙,29.3
2015/01/04/11,宜宾,0.6
2015/01/04/11,泸州二郎滩,0.8
2015/01/04/11,重庆,11.1
2015/01/04/11,涪陵（清溪场）,171.24
2015/01/04/11,万州,171.42
2015/01/04/11,茅坪,171.28
2015/01/04/11,宜昌,0.15
2015/01/04/11,沙市,-1.4
2015/01/04/11,监利,2.17
2015/01/04/11,城陵矶,3.14
2015/01/04/11,汉口,2.5
2015/01/04/11,黄石,2.22
2015/01/04/11,九江,1.76
2015/01/04/11,安庆,1.97
2015/01/04/11,芜湖,1.3
2015/01/04/11,南京,1.86
2015/01/04/11,镇江,1.64
2015/01/04/11,湘江长沙,29.33
2015/01/05/11,宜宾,1
2015/01/05/11,泸州二郎滩,0.9
2015/01/05/11,重庆,10.95
2015/01/05/11,涪陵（清溪场）,171.11
2015/01/05/11,万州,171.31
2015/01/05/11,茅坪,171.17
2015/01/05/11,宜昌,0.18
2015/01/05/11,沙市,-1.4
2015/01/05/11,监利,2.15
2015/01/05/11,城陵矶,3.06
2015/01/05/11,汉口,2.45
2015/01/05/11,黄石,2.11
2015/01/05/11,九江,1.69
2015/01/05/11,安庆,1.96
2015/01/05/11,芜湖,1.34
2015/01/05/11,南京,2.06
2015/01/05/11,镇江,2.15
2015/01/05/11,湘江长沙,29.34
2015/01/06/11,宜宾,1
2015/01/06/11,泸州二郎滩,1.4
2015/01/06/11,重庆,10.9
2015/01/06/11,涪陵（清溪场）,171.04
2015/01/06/11,万州,171.22
2015/01/06/11,茅坪,170.98
2015/01/06/11,宜昌,0.18
2015/01/06/11,沙市,-1.38
2015/01/06/11,监利,2.11
2015/01/06/11,城陵矶,2.99
2015/01/06/11,汉口,2.16
2015/01/06/11,黄石,2
2015/01/06/11,九江,1.66
2015/01/06/11,安庆,1.94
2015/01/06/11,芜湖,1.4
2015/01/06/11,南京,1.7
2015/01/06/11,镇江,2.05
2015/01/06/11,湘江长沙,29.31
2015/01/07/11,宜宾,0.7
2015/01/07/11,泸州二郎滩,1.1
2015/01/07/11,重庆,10.9
2015/01/07/11,涪陵（清溪场）,170.95
2015/01/07/11,万州,171.18
